id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
4674	141710	141720	In Connection with the De Willoughby Claim	"Burnett, Frances Hodgson, 1849-1924"	FIC	1899	Passive	Pronoun	Pronoun	To	AccDat
440747	3616	3640	Horace Bushnell	Walter Allen	MAG	1900	Passive	Pronoun	Noun	NoTo	DatAcc
440747	3703	3717	Horace Bushnell	Walter Allen	MAG	1900	Passive	Pronoun	Noun	NoTo	DatAcc
485018	1222	1236	The Week		MAG	1900	Passive	NA	NA	NA	NA
4713	14624	14661	Washington Irving	"Boynton, Henry Walcott, 1869-1947"	FIC	1901	Passive	Pronoun	Noun	NoTo	DatAcc
430068	5187	5212	The Renaissance in New England	"Edwin Mims, PhD"	MAG	1902	Passive	Pronoun	Noun	NoTo	DatAcc
486637	2532	2554	Notes		MAG	1902	Passive	Noun	Pronoun	To	AccDat
3559	1418	1430	Wonder-Box Tales		FIC	1902	Passive	NA	NA	NA	NA
5363	56479	56487	A California Girl	"Eldridge, Edward"	FIC	1902	Passive	NA	NA	NA	NA
676234	119	129	'LILY WHITES' WILL FIGHT; Senator Pritchard Comes Out Against 	Wireless Telegraph and Cable from 	NEWS	1902	Passive	NA	NA	NA	NA
676254	302	331	CHAMBERLAIN AT DURBAN; Colonial Secretary's Tour in South Africa Begun	Wireless Telegraph and Cable from 	NEWS	1902	Passive	NA	NA	NA	NA
486520	3924	3958	The Week		MAG	1903	Passive	NA	NA	NA	NA
430158	4378	4388	The Slave-Trade of To-day	Henry W. Nevinson	MAG	1905	Passive	NA	NA	NA	NA
438948	7383	7416	The commercialization of literature	Henry Holt	MAG	1905	Passive	Noun	Pronoun	To	AccDat
2929	72729	72750	Visionaries		FIC	1905	Passive	NA	NA	NA	NA
474314	3428	3445	Pedantic usage	Thomas Raynesford Lounsbury	MAG	1906	Passive	Pronoun	Noun	NoTo	DatAcc
1152	3416	3432	Madame De Treymes	"Wharton, Edith, 1862-1937"	FIC	1906	Passive	NA	NA	NA	NA
2790	22964	22985	The Colonel of the Red Huzzars		FIC	1906	Passive	Pronoun	Noun	NoTo	DatAcc
198	142442	142480	The Shuttle		FIC	1907	Passive	Pronoun	Pronoun	To	AccDat
2321	266	300	The Little City of Hope  A Christmas Story	"Crawford, F. Marion (Francis Marion), 1854-1909"	FIC	1907	Passive	NA	NA	NA	NA
437908	4512	4542	The Farmers' Union and the tobacco pool	John L Mathews	MAG	1908	Passive	NA	NA	NA	NA
1150	31731	31746	Peter: a novel of which he is not the hero	"Smith, Francis Hopkinson, 1838-1915"	FIC	1908	Passive	NA	NA	NA	NA
