Verb	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order	IOAnim	DOAnim	IODef	DODef	LengthDiff	IONum	DONum
offer	554974	13114	13156	Relations with England		MAG	1841	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
offer	558071	7977	8028	The Mexican Question		MAG	1866	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-4	Singular	Singular
offer	557787	14581	14661	Ocean Steam Navigation		MAG	1864	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-2	Singular	Plural
give	553838	6028	6084	America		MAG	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	1	Plural	Singular
give	747651	56110	56132	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	3	Singular	Plural
give	747659	36956	36972	War inconsistent with the religion of Jesus Christ	David Low Dodge	NF	1815	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	0	Singular	Plural
give	553765	10553	10630	Claims on France		MAG	1826	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-6	Plural	Singular
give	748084	72267	72302	Report of a Committee of the Citizens of Boston and Vicinity Opposed to a Further Increase of Duties on Importations	Henry Lee	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-4	Singular	Singular
give	553527	2611	2668	Law Reports		MAG	1824	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-9	Singular	Singular
give	553373	716	768	Essay Writing		MAG	1822	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	0	Singular	Plural
give	747651	110783	110884	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Plural	Singular
give	747582	64156	64228	"The Crisis: Or, Essays on the Usurpations of the Federal Government"	Brutus Robert James Turnbull	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Definite	-1	Singular	Singular
give	553765	4093	4153	Claims on France		MAG	1826	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	554071	10171	10196	Politics of Mexico		MAG	1830	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-4	Singular	Singular
give	7259	47609	47625	"Charlotte's Daughter; or, The Three Orphans. A Sequel to Charlotte Temple"		FIC	1828	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-1	Plural	Plural
give	748086	15223	15264	A view of the Constitution of the United States of America	William Rawle	NF	1829	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	4	Singular	Singular
give	7285	29853	29875	"Sketch of Connecticut, Forty Years Since"		FIC	1824	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Plural	Singular
give	748084	43828	43867	Report of a Committee of the Citizens of Boston and Vicinity Opposed to a Further Increase of Duties on Importations	Henry Lee	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	1	Singular	Singular
give	7209	19959	20024	The Betrothed of Wyoming		FIC	1830	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Plural	Singular
give	553698	4144	4199	Claims for French Spoilations		MAG	1826	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-2	Plural	Plural
give	748004	70277	70295	Christian Essays: To which is Added an Essay on the Influence of a Moral Life on Our Judgment in Matters of Faith	Samuel Charles Wilks	NF	1829	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	1	Singular	Plural
give	747562	85297	85313	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-1	Singular	Singular
give	553758	2723	2802	Materials for American History		MAG	1826	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	2	Singular	Singular
give	553119	6157	6215	A Bill to establish an uniform system of Bankruptcy throughout the United States		MAG	1818	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
give	7266	24854	24907	"Clarence; or, A Tale of Our Own Times, Volume 1"		FIC	1830	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	4	Plural	Singular
give	747582	2835	2933	"The Crisis: Or, Essays on the Usurpations of the Federal Government"	Brutus Robert James Turnbull	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-7	Singular	Singular
give	553765	1428	1513	Claims on France		MAG	1826	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	-3	Singular	Singular
give	554068	1204	1220	Asylum for the Blind		MAG	1830	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	1	Singular	Singular
give	747659	37630	37712	War inconsistent with the religion of Jesus Christ	David Low Dodge	NF	1815	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-10	Singular	Singular
give	553349	869	949	Botta's American Revolution		MAG	1821	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Singular	Plural
give	749178	28083	28113	A Sketch of the life of Brig. Gen. Francis Marion and a history of his brigade	"James, William Dobein, 1764-1838"	NF	1821	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	2	Singular	Singular
give	553480	2663	2693	European Politics		MAG	1823	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-7	Plural	Singular
give	748084	72760	72794	Report of a Committee of the Citizens of Boston and Vicinity Opposed to a Further Increase of Duties on Importations	Henry Lee	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-2	Plural	Singular
give	748084	46000	46017	Report of a Committee of the Citizens of Boston and Vicinity Opposed to a Further Increase of Duties on Importations	Henry Lee	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-2	Plural	Singular
give	553405	11277	11371	Examination of the Russian Claims		MAG	1822	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-5	Singular	Singular
give	747582	17953	17995	"The Crisis: Or, Essays on the Usurpations of the Federal Government"	Brutus Robert James Turnbull	NF	1827	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	3	Singular	Singular
give	314	11662	11718	The Last of the Mohicans; A narrative of 1757		FIC	1826	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	-4	Singular	Singular
give	7259	5040	5111	"Charlotte's Daughter; or, The Three Orphans. A Sequel to Charlotte Temple"		FIC	1828	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	1	Singular	Plural
give	747803	24666	24706	View of the Hebrews : exhibiting the destruction of Jerusalem; the certain restoration of Judah and Israel; the present state of Judah and Israel; and	Ethan Smith	NF	1823	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-3	Plural	Singular
give	748086	48161	48228	A view of the Constitution of the United States of America	William Rawle	NF	1829	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	7041	75920	75936	"The Rebels; or, Boston before the Revolution"		FIC	1825	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-5	Singular	Singular
give	553906	13996	14021	Von Dohm's Memoirs		MAG	1828	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Definite	-1	Singular	Plural
give	748059	36982	37073	Introduction to the mechanical principles of carpentry 	Benjamin Hale	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
give	7168	601	645	"The Buccaneers: A Romance of Our Own Count[r]y in Its Ancient Day . . . [by] Yclept Terentius Phlogobombos [pseud] . . . In Five Books,  Volume 1"		FIC	1827	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	747635	14799	14855	Elementary catechism on the Constitution of the United States : for the use of schools	Arthur J. Stansbury	NF	1828	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	-8	Plural	Singular
give	553357	1129	1142	Appropriation of Public Lands for Schools		MAG	1821	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	0	Singular	Singular
give	7975	511	588	&quot;Died he as the soldier joys to die&quot;		FIC	1830	Passive	Noun	Noun	To	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
give	747651	129409	129428	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
give	553969	831	910	Political Economy		MAG	1829	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	748059	1779	1797	Introduction to the mechanical principles of carpentry 	Benjamin Hale	NF	1827	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	1	Singular	Singular
give	553698	7305	7329	Claims for French Spoilations		MAG	1826	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	3	Plural	Singular
give	553568	3645	3670	Agriculture		MAG	1824	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Plural
give	553350	10318	10352	Life of Bernardin de St. Pierre		MAG	1821	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	0	Singular	Singular
give	747582	41002	41062	"The Crisis: Or, Essays on the Usurpations of the Federal Government"	Brutus Robert James Turnbull	NF	1827	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	2	Plural	Singular
