old_id	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
40177	492113	1552	1572	HEROES--WHOLESALE	"Thruelsen, Richard"	MAG	1942	Active	Noun	Pronoun	To	AccDat
38740	16125	1724	1741	They Made Me A Criminal		FIC	1939	Active	Pronoun	Pronoun	To	AccDat
30533	3067	72858	72891	Green Valley		FIC	1919	Active	Pronoun	Pronoun	To	AccDat
38294	10102	57134	57143	General's Lady	Esther Forbes	FIC	1938	Active	Pronoun	Pronoun	NoTo	AccDat
48431	724811	247	291	MINTZ IS INDICTED IN BRIBERY PLOT; Assemblyman and Ex-Police Chief Accused in Plan to Get Grand Jury Data	JACK ROTH	NEWS	1965	Active	Noun	Pronoun	To	AccDat
20383	9696	32764	32781	The Cowboy and the Lady		FIC	1894	Active	Noun	Pronoun	To	AccDat
20389	246	14299	14314	The Death of the Lion		FIC	1894	Active	Noun	Pronoun	To	AccDat
11032	9656	10181	10198	Ramona		FIC	1867	Active	Noun	Pronoun	To	AccDat
36961	491049	4871	4880	NOT THAT IT MATTERS		MAG	1934	Active	Pronoun	Pronoun	To	AccDat
59404	45725	6519	6546	The Two Dicks	Paul McAuley	FIC	2001	Active	Pronoun	Pronoun	To	AccDat
3805	7681	695	705	"Airs of Palestine, and other poems"		FIC	1840	Active	Noun	Pronoun	To	AccDat
54070	780034	55121	55135	Master of the Game	Sidney Sheldon	FIC	1982	Active	Pronoun	Pronoun	To	AccDat
31821	5087	18051	18062	The Pagan Madonna	"MacGrath, Harold, 1871-1932"	FIC	1921	Active	Pronoun	Pronoun	To	AccDat
31828	5087	52584	52595	The Pagan Madonna	"MacGrath, Harold, 1871-1932"	FIC	1921	Active	Pronoun	Pronoun	To	AccDat
40451	10167	44030	44041	Mrs. Parkinton	Louis Bromfield	FIC	1943	Active	Pronoun	Pronoun	To	AccDat
43224	1264	43764	43794	The Blind Spot	"Flint, Homer Eon, 1892-1924"	FIC	1951	Active	Noun	Pronoun	To	AccDat
60307	32379	349	368	Fatal error /	"Thompson, Colleen. "	FIC	2004	Active	Noun	Pronoun	To	AccDat
43487	12215	6253	6264	Miss Mabel	"Hill, Abram Barrington, 1914-1986"	FIC	1951	Active	Pronoun	Pronoun	To	AccDat
16593	759	55686	55705	The Red Acorn		FIC	1883	Active	Noun	Pronoun	To	AccDat
42570	10254	67187	67225	Man with the Golden Arm		FIC	1949	Active	Pronoun	Pronoun	To	AccDat
41889	10223	56083	56102	Middle of the Journey		FIC	1947	Active	Noun	Pronoun	To	AccDat
49994	10513	96411	96428	"What I'm Going to Do, I Think"		FIC	1969	Active	Noun	Pronoun	To	AccDat
53533	10663	4851	4861	Transit of Venus		FIC	1980	Active	Pronoun	Pronoun	NoTo	AccDat
22511	4495	9751	9757	Fables in Slang	"Ade, George, 1866-1944"	FIC	1899	Active	Pronoun	Pronoun	To	AccDat
24913	994	12496	12518	Rebecca Mary	"Donnell, Annie Hamilton"	FIC	1905	Active	Noun	Pronoun	To	AccDat
27919	2560	1920	1960	The Melting of Molly		FIC	1912	Active	Pronoun	Pronoun	To	AccDat
43081	13780	25026	25040	A String of Pearls	"Treadwell, Sophie, 1885-1970"	FIC	1950	Active	Noun	Pronoun	To	AccDat
54805	10723	47675	47686	Sicilian		FIC	1984	Active	Pronoun	Pronoun	To	AccDat
12342	2978	61464	61488	"Lucy Raymond Or, The Children's Watchword"		FIC	1871	Active	Pronoun	Pronoun	To	AccDat
35734	780118	13021	13045	Shadows on the Rock	Willa Cather	FIC	1931	Active	Pronoun	Pronoun	To	AccDat
27677	5835	19531	19554	Tante		FIC	1911	Active	Pronoun	Pronoun	To	AccDat
31086	4677	17887	17933	A Man of the People A Drama of Abraham Lincoln	"Dixon, Thomas, 1864-1946"	FIC	1920	Active	Pronoun	Pronoun	To	AccDat
31082	3090	37917	37927	Man to Man		FIC	1920	Active	Pronoun	Pronoun	To	AccDat
44283	780026	25485	25515	The Dawning of the Day	Elisabeth Ogilvie	FIC	1954	Active	Pronoun	Pronoun	To	AccDat
29853	2199	16829	16838	Laughing Bill Hyde and Other Stories	"Beach, Rex Ellingwood, 1877-1949"	FIC	1917	Active	Pronoun	Pronoun	To	AccDat
29857	2199	38096	38124	Laughing Bill Hyde and Other Stories	"Beach, Rex Ellingwood, 1877-1949"	FIC	1917	Active	Noun	Pronoun	To	AccDat
1069	9756	76761	76770	The Novels . . 		FIC	1827	Active	Noun	Pronoun	To	AccDat
1068	9756	24922	24949	The Novels . . 		FIC	1827	Active	Pronoun	Pronoun	To	AccDat
58168	54591	8336	8349	Pages Out of Order	"Jeapes, Ben"	FIC	1997	Active	Pronoun	Pronoun	To	AccDat
23158	14318	6456	6476	Pipe of Peace	"Cameron, Margaret, 1867-"	FIC	1900	Active	Pronoun	Pronoun	To	AccDat
52774	10644	34231	34247	Eye of the Needle		FIC	1978	Active	Noun	Pronoun	To	AccDat
52778	10643	17245	17252	Fools Die		FIC	1978	Active	Pronoun	Pronoun	To	AccDat
57452	13561	10797	10842	Jo &amp; Millie Go to Church	"Uyehara, Denise, 1966-"	FIC	1994	Active	Pronoun	Pronoun	To	AccDat
26004	3506	51145	51181	A Little Girl in Old Salem		FIC	1908	Active	Noun	Pronoun	To	AccDat
47189	4271	1617	1639	The Circuit Riders	"FitzPatrick, R. C."	FIC	1962	Active	Noun	Pronoun	To	AccDat
47186	722484	480	495	Governor on Hike; Kerner Slogs Muddy Trail with 65 Scouts Kerner and 65 Boy Scouts Traverse Abe's Footsteps		NEWS	1962	Active	Pronoun	Pronoun	To	AccDat
39205	10128	40668	40690	In the Money	William Carlos Williams	FIC	1940	Active	Pronoun	Pronoun	To	AccDat
20757	4572	8503	8531	A Chosen Few Short Stories		FIC	1895	Active	Noun	Pronoun	To	AccDat
44093	2915	83749	83774	Murder in the Gunroom	"Piper, H. Beam, 1904-1964"	FIC	1953	Active	Noun	Pronoun	To	AccDat
28379	5228	12710	12720	Otherwise Phyllis		FIC	1913	Active	Pronoun	Pronoun	To	AccDat
51260	10578	49900	49915	Pentimento		FIC	1973	Active	Noun	Pronoun	To	AccDat
56125	14572	19416	19427	Manhattan Transits	"Spector, Donna, fl. 2002"	FIC	1989	Active	Pronoun	Pronoun	To	AccDat
29107	3458	77183	77203	The Eagle of the Empire A Story of Waterloo		FIC	1915	Active	Pronoun	Pronoun	To	AccDat
34557	694936	730	742	RAIL UNIFICATION UNDER NEW BILL; Redrafted Parker Measure Stresses Necessity of Maintaining Carrier Competition--Many Changes ACTION UNLIKELY THIS SEA		NEWS	1928	Active	Noun	Pronoun	To	AccDat
31904	4568	31468	31482	Representative Plays by American Dramatists: 1856-1911: The Moth and the Flame		FIC	1921	Active	Pronoun	Pronoun	To	AccDat
13549	2980	40095	40114	"The Story of a Summer Or, Journal Leaves from Chappaqua"		FIC	1874	Active	Pronoun	Pronoun	To	AccDat
49890	780075	15613	15624	The Promise	Chaim Potok	FIC	1969	Active	Pronoun	Pronoun	To	AccDat
