"","Text","Lat","Long","Location","Dialect","Genre","YoC","YoM","AuthName","AuthBD","AuthSex","AuthAge","RecName","RecBD","RecSex","RecAge","RecRelation","Words","OCWords","NamWords","ForWords","Types","OCTypes","NamTypes","ForTypes","Chars","OCChars","NamChars","ForChars","Tokens","pseud","pass","act","relative","questions","selected","advantage"
"501358","CONWAY_061","x","x","x","x","l",1664,1664,"Anne_Conway[n.finch]","1631","f","33","Edward_Conway_Jr","1623","m","41","HUSBAND",477,114,25,0,204,93,22,0,4004,628,140,0,20,"b","nan","act","nie","qnie","selact","not"
"501440","CONWAY_062","x","x","x","x","l",1664,1664,"Henry_More","1614","m","50","Anne_Conway[n.finch]","1631","f","33","FRIEND",572,141,20,0,237,112,15,0,4466,844,107,0,22,"b","nan","act","nie","qnie","selact","not"
"501556","CONWAY_064","x","x","x","x","l",1665,1665,"Anne_Conway[n.finch]","1631","f","34","Edward_Conway_Jr","1623","m","42","HUSBAND",302,66,14,0,151,62,13,0,2685,388,75,0,14,"b","nan","act","nie","qnie","selact","not"
"501570","CONWAY_065","x","x","x","x","l",1665,1665,"Henry_More","1614","m","51","Anne_Conway[n.finch]","1631","f","34","FRIEND",701,164,31,0,281,135,25,0,6052,987,167,0,33,"b","nan","act","nie","qnie","selact","not"
"501929","CONWAY_071","x","x","x","x","l",1666,1666,"Anne_Conway[n.finch]","1631","f","35","Edward_Conway_Jr","1623","m","43","HUSBAND",617,144,22,6,278,128,19,6,4949,942,101,31,22,"p","van","nan","nie","qnie","selpse","not"
"502154","CONWAY_073","x","x","x","x","l",1674,1674,"Henry_More","1614","m","60","Anne_Conway[n.finch]","1631","f","43","FRIEND",1385,311,73,2,454,235,44,2,10614,1910,402,23,53,"b","nan","act","nie","qnie","selact","not"
"502537","CONWAY_076","x","x","x","x","l",1675,1675,"Henry_More","1614","m","61","Anne_Conway[n.finch]","1631","f","44","FRIEND",1164,274,60,0,413,209,39,0,8681,1571,382,0,42,"b","nan","act","nie","qnie","selact","not"
"502653","CONWAY_077","x","x","x","x","l",1675,1675,"Anne_Conway[n.finch]","1631","f","44","Henry_More","1614","m","61","FRIEND",1332,267,62,3,400,191,35,2,9987,1659,345,22,49,"b","nan","act","nie","qnie","selact","not"
"502943","CONWAY_079","x","x","x","x","l",1676,1676,"Henry_More","1614","m","62","Anne_Conway[n.finch]","1631","f","45","FRIEND",1976,438,90,9,576,304,40,5,14643,2658,502,80,70,"b","nan","act","nie","qnie","selact","not"
"503082","CONWAY_079","x","x","x","x","l",1676,1676,"Henry_More","1614","m","62","Anne_Conway[n.finch]","1631","f","45","FRIEND",1976,438,90,9,576,304,40,5,14643,2658,502,80,70,"b","nan","act","nie","qnie","selact","not"
